Title,Company,Experience,Salary,Location,Description,Tags,Posting Day,job_link
Application Designer,Accenture,5.0,,Nagpur,Project Role :Application DesignerProject Role Description :Assist in defining requirem...,"sap, application design, application development, sap fico, financial accounting, project management, python, software development",0,https://www.naukri.com/job-listings-application-designer-accenture-solutions-pvt-ltd-nagpur-5-to-10-years-191224912242
Data Platform Engineer,Accenture,7.0,,Bengaluru,Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years ful...,"data management, catalog, data governance, platform architecture, design principles, c++, enterprise architecture, microsoft azure",0,https://www.naukri.com/job-listings-data-platform-engineer-accenture-solutions-pvt-ltd-bengaluru-7-to-12-years-191224912380
Mechanical Equipment Engineer,Brunel,4.0,,Bengaluru,Academic: Bachelor of Engineering (BE) in Mechanical . SW or tools: PV Elite/ Compress/...,"Navisworks, 3D, AutoCAD, Mechanical, Packaging, PV Elite, Management, PV",30,https://www.naukri.com/job-listings-mechanical-equipment-engineer-brunel-india-pvt-ltd-bengaluru-4-to-8-years-111024501670
Application Developer,Accenture,7.0,,Pune,Educational Qualification : 15 years full time education. Summary :As an Application De...,"sap abap development, sap fiori, sap hana, sap abap, sap cloud, sap upgrade, sap, oracle",2,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-7-to-12-years-171224915616
Executive - Transmission Lines,Torrent Power,3.0,,Koppal,Coordinate repairs and replacements as requiredPreferred candidate profile BE / BTech ...,"Erection, Transmission Lines, Commissioning, Execution, Erection Commissioning, Installation And Commissioning, Construction, Project Monitoring",0,https://www.naukri.com/job-listings-executive-transmission-lines-torrent-power-koppal-3-to-7-years-071024008831
Application Lead,Accenture,7.0,,Pune,"Project Role :Application LeadProject Role Description :Lead the effort to design, buil...","sap abap development, sap hana, machine learning algorithms, statistics, data munging, python, sap, power bi",3,https://www.naukri.com/job-listings-application-lead-accenture-solutions-pvt-ltd-pune-7-to-12-years-161224909693
GN - Industry Utilities- Water Solution Architect,Accenture,10.0,,Gurugram,Solution Architect- Water UtilitiesFind endless opportunities to solve our clients toug...,"presentation skills, workforce management, water, network management, stakeholder management, architectural design, emerging technologies, asset management",5,https://www.naukri.com/job-listings-gn-industry-utilities-water-solution-architect-accenture-solutions-pvt-ltd-gurugram-10-to-16-years-141224906566
Application Lead,Accenture,5.0,,Coimbatore,"Educational Qualification:Bachelors degree in computer science, Software Engineering, I...","dbms, docker, java, jpa, full stack, continuous integration, kubernetes, css",0,https://www.naukri.com/job-listings-application-lead-accenture-solutions-pvt-ltd-coimbatore-5-to-10-years-191224912236
Associate Consultant - Assurance - Standards and Methodologies,EY,3.0,,Kolkata,Skills and attributes . To qualify for the role you must have By plugging into our mark...,"Computer science, Assurance, US GAAP, External audit, Client servicing, Relationship building, Focus, Agile",1,https://www.naukri.com/job-listings-associate-consultant-assurance-standards-and-methodologies-ernst-young-kolkata-3-to-6-years-181224505487
Application Developer,Accenture,7.0,,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","sql, software development life cycle, product development, software engineering, agile methodology, project management, python, c++",0,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-7-to-12-years-191224912992
